"GEOCODIGO_MUNICIPIO","NOME_MUNICIPIO","long_neg","lat_neg","Municipio_Codigo","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","long","lat"
"1101302","MIRANTE DA SERRA","-62.669427","-11.045609","1101302 MIRANTE DA SERRA","1","1","1","1","1","1","1","1","4","1","2","1","62.669427","11.045609"
"1101401","MONTE NEGRO","-63.295559","-10.263098","1101401 MONTE NEGRO","1","1","2","1","4","6","6","9","26","11","12","7","63.295559","10.263098"
"1101435","NOVA UNIÃO","-62.555089","-10.915532","1101435 NOVA UNIÃO","1","1","1","1","1","1","7","1","1","1","1","1","62.555089","10.915532"
"1101450","PARECIS","-61.597998","-12.179827","1101450 PARECIS","1","1","1","1","2","1","5","1","2","4","1","1","61.597998","12.179827"
"1101468","PIMENTEIRAS DO OESTE","-61.044379","-13.476562","1101468 PIMENTEIRAS DO OESTE","1","1","1","1","1","1","1","1","1","2","1","1","61.044379","13.476562"
"1101476","PRIMAVERA DE RONDÔNIA","-61.316546","-11.825707","1101476 PRIMAVERA DE RONDÔNIA","1","1","1","1","1","2","2","1","4","2","1","1","61.316546","11.825707"
"1101484","SÃO FELIPE D'OESTE","-61.512508","-11.914389","1101484 SÃO FELIPE D'OESTE","1","1","1","1","1","2","2","3","1","1","1","1","61.512508","11.914389"
"1101492","SÃO FRANCISCO DO GUAPORÉ","-63.570865","-12.063798","1101492 SÃO FRANCISCO DO GUAPORÉ","1","1","1","1","2","2","5","13","15","17","23","12","63.570865","12.063798"
"1101500","SERINGUEIRAS","-63.038761","-11.767117","1101500 SERINGUEIRAS","1","1","1","1","1","1","1","1","1","2","3","2","63.038761","11.767117"
"1101559","TEIXEIRÓPOLIS","-62.255922","-10.932169","1101559 TEIXEIRÓPOLIS","1","1","1","1","1","1","1","1","1","1","1","2","62.255922","10.932169"
"1101609","THEOBROMA","-62.345146","-10.248731","1101609 THEOBROMA","1","1","1","1","1","1","1","1","1","1","1","1","62.345146","10.248731"
"1101708","URUPÁ","-62.370632","-11.128545","1101708 URUPÁ","1","1","1","1","1","1","1","4","16","3","3","2","62.370632","11.128545"
"1101757","VALE DO ANARI","-62.176823","-9.851393","1101757 VALE DO ANARI","1","1","1","2","1","1","1","1","1","1","1","1","62.176823","9.851393"
"1101807","VALE DO PARAÍSO","-62.13439","-10.431053","1101807 VALE DO PARAÍSO","1","1","1","1","1","3","13","1","5","6","10","5","62.13439","10.431053"
"1200013","ACRELÂNDIA","-67.052317","-10.073794","1200013 ACRELÂNDIA","1","1","1","1","1","1","1","3","14","20","7","5","67.052317","10.073794"
"1200054","ASSIS BRASIL","-69.563459","-10.942866","1200054 ASSIS BRASIL","1","1","1","1","1","3","2","25","79","40","16","3","69.563459","10.942866"
"1200104","BRASILÉIA","-68.747943","-11.016411","1200104 BRASILÉIA","1","1","1","1","1","7","9","5","11","3","8","7","68.747943","11.016411"
"1200138","BUJARI","-67.951859","-9.82002","1200138 BUJARI","1","1","1","1","1","1","1","1","3","2","2","1","67.951859","9.82002"
"1200179","CAPIXABA","-67.673508","-10.569768","1200179 CAPIXABA","1","1","1","1","3","3","21","53","66","57","29","16","67.673508","10.569768"
"1200203","CRUZEIRO DO SUL","-72.672531","-7.63069","1200203 CRUZEIRO DO SUL","1","1","1","1","1","2","3","26","28","14","6","5","72.672531","7.63069"
"1200252","EPITACIOLÂNDIA","-68.744868","-11.02824","1200252 EPITACIOLÂNDIA","1","1","1","4","8","2","1","1","1","1","1","1","68.744868","11.02824"
"1200302","FEIJÓ","-70.353984","-8.160248","1200302 FEIJÓ","1","1","1","1","1","1","1","1","2","1","1","1","70.353984","8.160248"
"1200328","JORDÃO","-71.950875","-9.193358","1200328 JORDÃO","1","1","1","2","10","5","26","7","4","7","3","6","71.950875","9.193358"
"1200336","MÂNCIO LIMA","-72.916501","-7.593223","1200336 MÂNCIO LIMA","1","1","1","4","6","2","14","25","21","5","1","5","72.916501","7.593223"
"1200344","MANOEL URBANO","-69.259945","-8.836318","1200344 MANOEL URBANO","1","1","1","1","2","5","2","1","1","1","1","1","69.259945","8.836318"
"1200351","MARECHAL THAUMATURGO","-72.790266","-8.953591","1200351 MARECHAL THAUMATURGO","1","1","1","2","3","4","2","11","7","11","5","7","72.790266","8.953591"
"1200385","PLÁCIDO DE CASTRO","-67.18826","-10.335133","1200385 PLÁCIDO DE CASTRO","1","1","1","1","1","1","1","3","4","4","3","2","67.18826","10.335133"
"1200393","PORTO WALTER","-72.742334","-8.266666","1200393 PORTO WALTER","4","7","1","1","1","2","1","1","7","10","22","267","72.742334","8.266666"
"1200401","RIO BRANCO","-67.810529","-9.978299","1200401 RIO BRANCO","1","1","1","1","1","1","7","12","10","6","4","1","67.810529","9.978299"
"1200427","RODRIGUES ALVES","-72.647855","-7.733602","1200427 RODRIGUES ALVES","1","1","1","1","3","1","1","1","4","6","1","15","72.647855","7.733602"
"1200435","SANTA ROSA DO PURUS","-70.486497","-9.443407","1200435 SANTA ROSA DO PURUS","1","1","1","1","1","1","3","24","62","23","5","11","70.486497","9.443407"
"1200450","SENADOR GUIOMARD","-67.743172","-10.148174","1200450 SENADOR GUIOMARD","1","1","1","1","6","21","21","56","76","32","40","14","67.743172","10.148174"
"1200500","SENA MADUREIRA","-68.655684","-9.06534","1200500 SENA MADUREIRA","1","1","1","7","1","22","6","57","54","34","29","25","68.655684","9.06534"
"1200609","TARAUACÁ","-70.755501","-8.155669","1200609 TARAUACÁ","1","1","1","1","1","1","1","1","4","12","12","5","70.755501","8.155669"
"1200708","XAPURI","-68.506295","-10.652072","1200708 XAPURI","1","1","1","2","1","1","1","13","26","13","20","6","68.506295","10.652072"
"1200807","PORTO ACRE","-67.54059","-9.600858","1200807 PORTO ACRE","1","1","1","1","1","1","1","1","1","1","1","1","67.54059","9.600858"
"1300029","ALVARÃES","-64.813535","-3.216584","1300029 ALVARÃES","1","1","1","3","4","3","10","9","5","4","3","1","64.813535","3.216584"
"1300060","AMATURÁ","-68.209615","-3.366805","1300060 AMATURÁ","1","1","1","2","2","2","3","1","13","10","3","5","68.209615","3.366805"
"1300086","ANAMÃ","-61.405903","-3.57637","1300086 ANAMÃ","1","1","1","1","1","1","1","1","13","11","1","1","61.405903","3.57637"
"1300102","ANORI","-61.658955","-3.745386","1300102 ANORI","1","1","1","2","3","2","2","22","9","11","4","2","61.658955","3.745386"
"1300144","APUÍ","-59.885666","-7.19787","1300144 APUÍ","1","1","2","1","1","1","4","1","21","11","2","1","59.885666","7.19787"
"1300201","ATALAIA DO NORTE","-70.187989","-4.366157","1300201 ATALAIA DO NORTE","1","30","4","29","1","8","33","5","29","19","5","2","70.187989","4.366157"
"1300300","AUTAZES","-59.133567","-3.578664","1300300 AUTAZES","1","1","1","1","1","1","1","20","9","5","8","7","59.133567","3.578664"
"1300409","BARCELOS","-62.92567","-0.972801","1300409 BARCELOS","1","1","1","4","2","1","7","1","3","7","6","1","62.92567","0.972801"
"1300508","BARREIRINHA","-57.06775","-2.79815","1300508 BARREIRINHA","1","1","1","1","1","6","4","1","1","5","2","4","57.06775","2.79815"
"1300607","BENJAMIN CONSTANT","-70.027348","-4.374989","1300607 BENJAMIN CONSTANT","1","1","27","24","8","3","14","47","59","32","15","11","70.027348","4.374989"
"1300631","BERURI","-61.371571","-3.894513","1300631 BERURI","1","1","1","1","1","1","1","2","11","4","5","2","61.371571","3.894513"
"1300680","BOA VISTA DO RAMOS","-57.587707","-2.971727","1300680 BOA VISTA DO RAMOS","1","1","1","3","7","2","1","2","4","9","2","3","57.587707","2.971727"
"1300706","BOCA DO ACRE","-67.399578","-8.751243","1300706 BOCA DO ACRE","1","1","1","7","15","9","7","15","2","2","1","7","67.399578","8.751243"
"1300805","BORBA","-59.594559","-4.39062","1300805 BORBA","1","2","1","2","1","1","13","16","9","25","9","3","59.594559","4.39062"
