"GEOCODIGO_MUNICIPIO","NOME_MUNICIPIO","long_neg","lat_neg","Municipio_Codigo","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","long","lat"
"2209104","SANTA CRUZ DO PIAUÍ","-41.761926","-7.177626","2209104 SANTA CRUZ DO PIAUÍ","1","1","1","4","4","1","1","2","11","29","5","1","41.761926","7.177626"
"2209153","SANTA CRUZ DOS MILAGRES","-41.958446","-5.808121","2209153 SANTA CRUZ DOS MILAGRES","1","1","1","1","2","1","1","1","2","4","5","3","41.958446","5.808121"
"2209203","SANTA FILOMENA","-45.920556","-9.106796","2209203 SANTA FILOMENA","1","1","1","1","1","1","1","3","2","7","5","2","45.920556","9.106796"
"2209302","SANTA LUZ","-44.129586","-8.944624","2209302 SANTA LUZ","1","4","4","3","6","3","8","1","8","13","10","4","44.129586","8.944624"
"2209351","SANTANA DO PIAUÍ","-41.518481","-6.949072","2209351 SANTANA DO PIAUÍ","1","1","1","1","1","1","1","1","4","3","6","1","41.518481","6.949072"
"2209377","SANTA ROSA DO PIAUÍ","-42.280814","-6.801455","2209377 SANTA ROSA DO PIAUÍ","1","1","1","1","1","2","5","4","10","5","11","5","42.280814","6.801455"
"2209401","SANTO ANTÔNIO DE LISBOA","-41.233765","-6.981848","2209401 SANTO ANTÔNIO DE LISBOA","1","2","2","4","10","9","31","47","49","40","31","30","41.233765","6.981848"
"2209450","SANTO ANTÔNIO DOS MILAGRES","-42.711197","-6.046718","2209450 SANTO ANTÔNIO DOS MILAGRES","1","1","1","1","1","1","1","1","1","7","2","2","42.711197","6.046718"
"2209500","SANTO INÁCIO DO PIAUÍ","-41.918213","-7.422337","2209500 SANTO INÁCIO DO PIAUÍ","1","1","1","1","1","1","1","9","12","9","8","4","41.918213","7.422337"
"2209559","SÃO BRAZ DO PIAUÍ","-42.999073","-9.062561","2209559 SÃO BRAZ DO PIAUÍ","1","1","1","1","1","1","1","1","1","5","25","3","42.999073","9.062561"
"2209609","SÃO FÉLIX DO PIAUÍ","-42.113503","-5.932868","2209609 SÃO FÉLIX DO PIAUÍ","1","1","1","1","1","1","1","1","1","1","2","1","42.113503","5.932868"
"2209658","SÃO FRANCISCO DE ASSIS DO PIAUÍ","-41.689597","-8.237755","2209658 SÃO FRANCISCO DE ASSIS DO PIAUÍ","1","1","1","2","1","1","1","7","5","5","4","1","41.689597","8.237755"
"2209708","SÃO FRANCISCO DO PIAUÍ","-42.538532","-7.243976","2209708 SÃO FRANCISCO DO PIAUÍ","1","1","1","1","1","2","1","1","4","1","1","1","42.538532","7.243976"
"2209757","SÃO GONÇALO DO GURGUÉIA","-45.301406","-10.02994","2209757 SÃO GONÇALO DO GURGUÉIA","1","1","1","1","1","1","1","1","2","1","2","2","45.301406","10.02994"
"2209807","SÃO GONÇALO DO PIAUÍ","-42.698831","-5.989667","2209807 SÃO GONÇALO DO PIAUÍ","1","1","1","1","1","1","1","1","1","1","1","1","42.698831","5.989667"
"2209856","SÃO JOÃO DA CANABRAVA","-41.346054","-6.818931","2209856 SÃO JOÃO DA CANABRAVA","1","3","9","8","1","3","11","6","13","4","8","3","41.346054","6.818931"
"2209872","SÃO JOÃO DA FRONTEIRA","-41.256287","-3.938597","2209872 SÃO JOÃO DA FRONTEIRA","1","1","1","1","1","1","1","1","1","1","1","1","41.256287","3.938597"
"2209906","SÃO JOÃO DA SERRA","-41.899264","-5.508798","2209906 SÃO JOÃO DA SERRA","1","1","1","1","1","1","1","2","1","1","2","1","41.899264","5.508798"
"2209955","SÃO JOÃO DA VARJOTA","-41.863742","-6.919018","2209955 SÃO JOÃO DA VARJOTA","1","3","1","1","2","2","10","69","257","245","131","70","41.863742","6.919018"
"2209971","SÃO JOÃO DO ARRAIAL","-42.453126","-3.813169","2209971 SÃO JOÃO DO ARRAIAL","1","1","1","1","1","1","1","3","2","8","1","1","42.453126","3.813169"
"2210003","SÃO JOÃO DO PIAUÍ","-42.256438","-8.34885","2210003 SÃO JOÃO DO PIAUÍ","1","1","1","1","1","2","1","4","14","9","4","1","42.256438","8.34885"
"2210052","SÃO JOSÉ DO DIVINO","-41.830109","-3.805716","2210052 SÃO JOSÉ DO DIVINO","1","1","1","1","1","1","1","1","3","3","1","1","41.830109","3.805716"
"2210102","SÃO JOSÉ DO PEIXE","-42.570179","-7.493009","2210102 SÃO JOSÉ DO PEIXE","1","1","1","1","1","1","1","1","1","1","1","1","42.570179","7.493009"
"2210201","SÃO JOSÉ DO PIAUÍ","-41.479407","-6.870626","2210201 SÃO JOSÉ DO PIAUÍ","1","1","1","3","4","5","3","8","16","6","5","1","41.479407","6.870626"
"2210300","SÃO JULIÃO","-40.836913","-7.085315","2210300 SÃO JULIÃO","1","1","1","1","7","13","6","9","9","11","11","10","40.836913","7.085315"
"2210359","SÃO LOURENÇO DO PIAUÍ","-42.544352","-9.172002","2210359 SÃO LOURENÇO DO PIAUÍ","1","1","1","1","1","1","1","4","19","5","10","2","42.544352","9.172002"
"2210375","SÃO LUIS DO PIAUÍ","-41.322838","-6.828144","2210375 SÃO LUIS DO PIAUÍ","1","1","1","1","1","1","1","1","1","1","1","2","41.322838","6.828144"
"2210383","SÃO MIGUEL DA BAIXA GRANDE","-42.185377","-5.862299","2210383 SÃO MIGUEL DA BAIXA GRANDE","1","1","1","1","1","1","2","5","5","7","8","4","42.185377","5.862299"
"2210391","SÃO MIGUEL DO FIDALGO","-42.370529","-7.584969","2210391 SÃO MIGUEL DO FIDALGO","1","1","1","1","1","1","1","1","1","1","1","1","42.370529","7.584969"
"2210409","SÃO MIGUEL DO TAPUIO","-41.319798","-5.500664","2210409 SÃO MIGUEL DO TAPUIO","1","1","1","1","1","1","5","4","11","15","8","1","41.319798","5.500664"
"2210508","SÃO PEDRO DO PIAUÍ","-42.72366","-5.913952","2210508 SÃO PEDRO DO PIAUÍ","1","1","1","1","1","1","1","5","3","1","4","1","42.72366","5.913952"
"2210607","SÃO RAIMUNDO NONATO","-42.692285","-9.01536","2210607 SÃO RAIMUNDO NONATO","1","1","6","16","3","7","4","9","7","8","6","4","42.692285","9.01536"
"2210623","SEBASTIÃO BARROS","-44.833284","-10.816675","2210623 SEBASTIÃO BARROS","7","213","50","74","123","261","508","758","991","1287","1193","502","44.833284","10.816675"
"2210631","SEBASTIÃO LEAL","-44.067692","-7.577386","2210631 SEBASTIÃO LEAL","1","1","2","2","1","2","1","1","2","1","4","1","44.067692","7.577386"
"2210656","SIGEFREDO PACHECO","-41.727559","-4.911689","2210656 SIGEFREDO PACHECO","1","1","1","2","1","1","1","1","1","5","4","2","41.727559","4.911689"
"2210706","SIMÕES","-40.817509","-7.599137","2210706 SIMÕES","1","1","1","1","1","1","1","1","1","1","1","1","40.817509","7.599137"
"2210805","SIMPLÍCIO MENDES","-41.91091","-7.857957","2210805 SIMPLÍCIO MENDES","1","1","1","1","1","1","1","3","1","1","3","1","41.91091","7.857957"
"2210904","SOCORRO DO PIAUÍ","-42.504692","-7.864938","2210904 SOCORRO DO PIAUÍ","1","1","1","6","5","4","13","8","24","20","7","4","42.504692","7.864938"
"2210938","SUSSUAPARA","-41.392268","-7.017011","2210938 SUSSUAPARA","1","1","1","1","1","1","1","1","1","2","1","1","41.392268","7.017011"
"2210953","TAMBORIL DO PIAUÍ","-42.909689","-8.400432","2210953 TAMBORIL DO PIAUÍ","1","1","2","3","1","4","1","1","4","1","2","1","42.909689","8.400432"
"2210979","TANQUE DO PIAUÍ","-42.283901","-6.596353","2210979 TANQUE DO PIAUÍ","1","1","1","1","1","1","4","1","1","11","14","3","42.283901","6.596353"
"2211001","TERESINA","-42.80527","-5.086342","2211001 TERESINA","1","1","1","1","2","1","1","1","8","1","1","2","42.80527","5.086342"
"2211100","UNIÃO","-42.86293","-4.586018","2211100 UNIÃO","1","1","1","1","1","1","1","1","1","1","3","3","42.86293","4.586018"
"2211209","URUÇUÍ","-44.560256","-7.229503","2211209 URUÇUÍ","1","1","1","1","1","1","4","1","6","1","1","1","44.560256","7.229503"
"2211308","VALENÇA DO PIAUÍ","-41.740536","-6.398196","2211308 VALENÇA DO PIAUÍ","1","1","1","1","1","1","3","6","14","30","20","7","41.740536","6.398196"
"2211357","VÁRZEA BRANCA","-42.969445","-9.236541","2211357 VÁRZEA BRANCA","1","1","1","1","1","1","1","1","1","1","1","1","42.969445","9.236541"
"2211407","VÁRZEA GRANDE","-42.253102","-6.542948","2211407 VÁRZEA GRANDE","1","1","1","1","1","1","1","7","3","3","3","1","42.253102","6.542948"
"2211506","VERA MENDES","-41.479737","-7.602849","2211506 VERA MENDES","1","1","1","1","1","1","1","1","1","1","1","1","41.479737","7.602849"
"2211605","VILA NOVA DO PIAUÍ","-40.937801","-7.141046","2211605 VILA NOVA DO PIAUÍ","1","1","1","1","1","1","1","2","3","5","2","1","40.937801","7.141046"
"2211704","WALL FERRAZ","-41.908954","-7.235779","2211704 WALL FERRAZ","1","1","1","1","2","1","1","3","3","4","2","3","41.908954","7.235779"
"2300101","ABAIARA","-39.047547","-7.356977","2300101 ABAIARA","1","1","1","1","1","2","2","6","9","14","16","16","39.047547","7.356977"
"2300150","ACARAPE","-38.705624","-4.223138","2300150 ACARAPE","1","1","1","1","1","2","3","1","3","7","7","1","38.705624","4.223138"
"2300200","ACARAÚ","-40.118241","-2.885311","2300200 ACARAÚ","1","1","1","1","1","1","1","1","1","2","1","1","40.118241","2.885311"
"2300309","ACOPIARA","-39.455705","-6.092762","2300309 ACOPIARA","1","1","1","1","1","1","1","1","1","1","1","1","39.455705","6.092762"
"2300408","AIUABA","-40.12316","-6.563298","2300408 AIUABA","1","1","1","1","1","1","1","3","8","6","7","6","40.12316","6.563298"
"2300507","ALCÂNTARAS","-40.544638","-3.586984","2300507 ALCÂNTARAS","1","2","1","1","2","1","1","1","3","2","1","1","40.544638","3.586984"
"2300606","ALTANEIRA","-39.745821","-6.997498","2300606 ALTANEIRA","1","1","1","1","1","1","1","1","4","4","1","3","39.745821","6.997498"
"2300705","ALTO SANTO","-38.272778","-5.522082","2300705 ALTO SANTO","1","1","1","3","1","1","3","4","2","3","1","1","38.272778","5.522082"
"2300754","AMONTADA","-39.828823","-3.364878","2300754 AMONTADA","1","1","1","1","1","1","1","3","2","4","2","1","39.828823","3.364878"
"2300804","ANTONINA DO NORTE","-39.982387","-6.779688","2300804 ANTONINA DO NORTE","1","1","1","1","1","1","2","10","20","45","31","16","39.982387","6.779688"
"2300903","APUIARÉS","-39.430423","-3.948019","2300903 APUIARÉS","1","1","1","4","1","1","3","3","4","4","4","1","39.430423","3.948019"
"2301000","AQUIRAZ","-38.389803","-3.906195","2301000 AQUIRAZ","1","1","6","2","3","3","3","23","35","33","35","16","38.389803","3.906195"
"2301109","ARACATI","-37.772753","-4.567066","2301109 ARACATI","1","1","1","1","1","1","1","1","3","1","1","1","37.772753","4.567066"
"2301208","ARACOIABA","-38.809441","-4.370394","2301208 ARACOIABA","1","1","3","1","1","1","1","13","3","9","1","1","38.809441","4.370394"
"2301257","ARARENDÁ","-40.831097","-4.751938","2301257 ARARENDÁ","1","1","1","1","1","1","1","4","1","3","15","8","40.831097","4.751938"
"2301307","ARARIPE","-40.137446","-7.206184","2301307 ARARIPE","1","1","1","1","1","1","1","1","1","3","1","1","40.137446","7.206184"
"2301406","ARATUBA","-39.047555","-4.416931","2301406 ARATUBA","1","1","1","1","1","1","1","1","1","1","1","1","39.047555","4.416931"
"2301505","ARNEIROZ","-40.161444","-6.319426","2301505 ARNEIROZ","1","1","1","1","1","1","1","1","2","7","1","1","40.161444","6.319426"
"2301604","ASSARÉ","-39.871275","-6.872607","2301604 ASSARÉ","1","1","1","1","1","1","1","1","5","2","2","1","39.871275","6.872607"
"2301703","AURORA","-38.976991","-6.940392","2301703 AURORA","1","1","1","1","1","1","1","1","1","1","1","2","38.976991","6.940392"
"2301802","BAIXIO","-38.720126","-6.727162","2301802 BAIXIO","1","1","1","1","1","1","1","1","2","7","15","4","38.720126","6.727162"
"2301851","BANABUIÚ","-38.925785","-5.315047","2301851 BANABUIÚ","1","1","1","1","1","1","5","9","14","26","2","1","38.925785","5.315047"
"2301901","BARBALHA","-39.302316","-7.307172","2301901 BARBALHA","1","1","1","1","1","1","1","1","1","3","1","1","39.302316","7.307172"
"2301950","BARREIRA","-38.638502","-4.288762","2301950 BARREIRA","1","1","1","1","3","1","2","8","12","3","1","2","38.638502","4.288762"
"2302008","BARRO","-38.779881","-7.168209","2302008 BARRO","1","5","3","11","2","2","1","7","11","15","13","4","38.779881","7.168209"
"2302057","BARROQUINHA","-41.139482","-3.009117","2302057 BARROQUINHA","1","1","1","1","1","1","1","1","4","1","2","1","41.139482","3.009117"
"2302107","BATURITÉ","-38.880021","-4.331205","2302107 BATURITÉ","2","53","70","87","70","65","101","160","256","284","191","109","38.880021","4.331205"
"2302206","BEBERIBE","-38.123273","-4.174763","2302206 BEBERIBE","1","7","6","1","4","5","8","43","74","74","54","21","38.123273","4.174763"
"2302305","BELA CRUZ","-40.166843","-3.055107","2302305 BELA CRUZ","1","1","1","1","1","2","1","4","9","14","12","9","40.166843","3.055107"
"2302404","BOA VIAGEM","-39.733282","-5.125744","2302404 BOA VIAGEM","1","1","1","1","1","1","1","1","8","12","2","2","39.733282","5.125744"
"2302503","BREJO SANTO","-38.985514","-7.491638","2302503 BREJO SANTO","1","5","17","16","17","10","5","11","20","23","8","1","38.985514","7.491638"
"2302602","CAMOCIM","-40.847528","-2.900967","2302602 CAMOCIM","1","1","1","1","1","1","1","2","4","1","1","1","40.847528","2.900967"
"2302701","CAMPOS SALES","-40.379003","-7.073384","2302701 CAMPOS SALES","1","1","1","2","1","2","2","3","3","4","1","2","40.379003","7.073384"
"2302800","CANINDÉ","-39.310343","-4.355344","2302800 CANINDÉ","1","1","1","1","1","1","1","10","10","2","7","5","39.310343","4.355344"
"2302909","CAPISTRANO","-38.901829","-4.459897","2302909 CAPISTRANO","1","1","1","1","1","1","1","1","1","1","2","1","38.901829","4.459897"
"2303006","CARIDADE","-39.193033","-4.22496","2303006 CARIDADE","1","1","1","1","1","1","1","1","6","4","7","1","39.193033","4.22496"
"2303105","CARIRÉ","-40.473845","-3.951612","2303105 CARIRÉ","1","1","1","1","1","1","1","1","35","16","8","4","40.473845","3.951612"
"2303204","CARIRIAÇU","-39.284372","-7.041528","2303204 CARIRIAÇU","1","1","1","1","1","1","1","1","1","1","6","1","39.284372","7.041528"
"2303303","CARIÚS","-39.497689","-6.531128","2303303 CARIÚS","1","1","1","1","1","1","1","3","5","3","4","2","39.497689","6.531128"
"2303402","CARNAUBAL","-40.935632","-4.163989","2303402 CARNAUBAL","1","1","1","1","1","1","2","14","10","10","8","7","40.935632","4.163989"
"2303501","CASCAVEL","-38.239686","-4.131434","2303501 CASCAVEL","1","1","4","1","1","1","1","1","1","1","1","1","38.239686","4.131434"
"2303600","CATARINA","-39.879466","-6.127556","2303600 CATARINA","1","1","4","1","1","2","1","1","6","4","1","1","39.879466","6.127556"
"2303659","CATUNDA","-40.205804","-4.651549","2303659 CATUNDA","1","1","1","1","2","2","11","1","1","7","2","1","40.205804","4.651549"
"2303709","CAUCAIA","-38.664018","-3.736487","2303709 CAUCAIA","1","1","1","1","1","1","1","1","1","2","5","1","38.664018","3.736487"
"2303808","CEDRO","-39.059743","-6.604961","2303808 CEDRO","1","1","1","1","1","1","1","1","1","1","1","1","39.059743","6.604961"
"2303907","CHAVAL","-41.244596","-3.038901","2303907 CHAVAL","1","1","1","1","1","1","1","2","8","6","10","1","41.244596","3.038901"
"2303931","CHORÓ","-39.137468","-4.842516","2303931 CHORÓ","1","1","1","1","1","1","1","4","9","1","1","1","39.137468","4.842516"
"2303956","CHOROZINHO","-38.501286","-4.302171","2303956 CHOROZINHO","1","1","1","1","1","2","1","1","1","6","1","4","38.501286","4.302171"
"2304004","COREAÚ","-40.656951","-3.549488","2304004 COREAÚ","1","1","1","1","1","1","1","1","1","1","1","1","40.656951","3.549488"
"2304103","CRATEÚS","-40.6684","-5.176951","2304103 CRATEÚS","1","1","1","1","1","1","6","7","10","16","5","7","40.6684","5.176951"
"2304202","CRATO","-39.40839","-7.231753","2304202 CRATO","1","5","4","3","8","24","8","23","35","32","20","12","39.40839","7.231753"
"2304236","CROATÁ","-40.909045","-4.414057","2304236 CROATÁ","1","1","1","1","1","1","1","1","2","3","1","1","40.909045","4.414057"
"2304251","CRUZ","-40.171279","-2.916708","2304251 CRUZ","1","1","1","1","1","1","1","1","1","1","1","1","40.171279","2.916708"
"2304269","DEPUTADO IRAPUAN PINHEIRO","-39.261542","-5.908962","2304269 DEPUTADO IRAPUAN PINHEIRO","1","1","1","1","1","1","1","1","1","1","1","1","39.261542","5.908962"
"2304277","ERERÊ","-38.347259","-6.031333","2304277 ERERÊ","1","2","1","1","1","1","1","2","7","6","3","1","38.347259","6.031333"
"2304285","EUSÉBIO","-38.445122","-3.886973","2304285 EUSÉBIO","1","1","1","1","1","2","1","1","2","1","2","1","38.445122","3.886973"
"2304301","FARIAS BRITO","-39.570835","-6.92711","2304301 FARIAS BRITO","1","1","1","1","1","1","1","1","7","5","4","1","39.570835","6.92711"
"2304350","FORQUILHA","-40.258769","-3.798958","2304350 FORQUILHA","1","1","1","1","1","1","1","1","1","2","3","1","40.258769","3.798958"
"2304400","FORTALEZA","-38.589928","-3.723805","2304400 FORTALEZA","1","1","1","1","1","1","1","1","1","1","1","1","38.589928","3.723805"
"2304459","FORTIM","-37.798975","-4.449805","2304459 FORTIM","1","1","1","1","1","1","1","1","1","2","1","1","37.798975","4.449805"
"2304509","FRECHEIRINHA","-40.821405","-3.760612","2304509 FRECHEIRINHA","1","1","1","1","1","1","2","1","1","3","1","1","40.821405","3.760612"
"2304608","GENERAL SAMPAIO","-39.45353","-4.051041","2304608 GENERAL SAMPAIO","1","1","1","1","1","1","1","1","2","1","1","1","39.45353","4.051041"
"2304657","GRAÇA","-40.755525","-4.046939","2304657 GRAÇA","1","1","1","1","1","1","1","1","1","2","1","1","40.755525","4.046939"
"2304707","GRANJA","-40.829939","-3.118952","2304707 GRANJA","1","1","1","1","1","1","2","3","3","3","4","1","40.829939","3.118952"
"2304806","GRANJEIRO","-39.220309","-6.888884","2304806 GRANJEIRO","1","1","1","1","1","1","1","1","9","3","1","1","39.220309","6.888884"
"2304905","GROAÍRAS","-40.382146","-3.911954","2304905 GROAÍRAS","1","1","1","1","2","1","1","1","5","2","2","1","40.382146","3.911954"
"2304954","GUAIÚBA","-38.634435","-4.040244","2304954 GUAIÚBA","1","1","1","1","1","1","1","1","2","1","1","2","38.634435","4.040244"
"2305001","GUARACIABA DO NORTE","-40.752633","-4.162451","2305001 GUARACIABA DO NORTE","1","1","1","1","1","2","1","1","1","3","1","1","40.752633","4.162451"
"2305100","GUARAMIRANGA","-38.940633","-4.262051","2305100 GUARAMIRANGA","1","1","1","4","1","1","1","1","5","1","1","1","38.940633","4.262051"
"2305209","HIDROLÂNDIA","-40.401817","-4.407999","2305209 HIDROLÂNDIA","1","1","1","1","1","1","1","4","2","5","1","4","40.401817","4.407999"
"2305233","HORIZONTE","-38.49424","-4.093278","2305233 HORIZONTE","1","1","1","4","9","4","8","2","20","10","4","8","38.49424","4.093278"
"2305266","IBARETAMA","-38.821678","-4.818652","2305266 IBARETAMA","1","1","1","1","1","1","1","3","5","5","13","4","38.821678","4.818652"
"2305308","IBIAPINA","-40.893929","-3.936131","2305308 IBIAPINA","1","2","1","1","1","1","1","1","1","1","1","1","40.893929","3.936131"
"2305332","IBICUITINGA","-38.640863","-4.969166","2305332 IBICUITINGA","1","1","1","1","1","1","1","3","5","14","6","2","38.640863","4.969166"
"2305357","ICAPUÍ","-37.353563","-4.715549","2305357 ICAPUÍ","1","1","5","1","2","1","3","2","1","1","7","6","37.353563","4.715549"
"2305407","ICÓ","-38.863085","-6.403031","2305407 ICÓ","1","1","1","1","1","1","2","3","19","31","13","23","38.863085","6.403031"
"2305506","IGUATU","-39.299906","-6.360555","2305506 IGUATU","1","1","1","1","1","1","1","1","1","2","1","1","39.299906","6.360555"
"2305605","INDEPENDÊNCIA","-40.309348","-5.398028","2305605 INDEPENDÊNCIA","1","1","1","1","1","1","2","3","1","1","4","1","40.309348","5.398028"
"2305654","IPAPORANGA","-40.757966","-4.90063","2305654 IPAPORANGA","1","1","7","5","4","1","3","3","21","19","5","11","40.757966","4.90063"
"2305704","IPAUMIRIM","-38.715904","-6.788361","2305704 IPAUMIRIM","1","1","1","1","1","1","1","3","3","1","1","1","38.715904","6.788361"
"2305803","IPU","-40.718726","-4.313432","2305803 IPU","1","3","2","1","1","2","3","1","4","9","3","1","40.718726","4.313432"
"2305902","IPUEIRAS","-40.715697","-4.543785","2305902 IPUEIRAS","1","1","1","1","1","1","1","3","5","2","2","5","40.715697","4.543785"
"2306009","IRACEMA","-38.304662","-5.809843","2306009 IRACEMA","1","1","7","4","1","4","4","3","10","13","9","4","38.304662","5.809843"
"2306108","IRAUÇUBA","-39.792238","-3.745419","2306108 IRAUÇUBA","1","1","1","1","1","1","1","4","3","1","1","1","39.792238","3.745419"
"2306207","ITAIÇABA","-37.82163","-4.683405","2306207 ITAIÇABA","1","1","1","1","1","1","1","1","1","1","1","1","37.82163","4.683405"
"2306256","ITAITINGA","-38.526405","-3.970459","2306256 ITAITINGA","1","1","1","1","1","1","1","1","1","1","3","2","38.526405","3.970459"
"2306306","ITAPAGÉ","-39.583533","-3.685673","2306306 ITAPAGÉ","1","1","1","2","1","1","1","1","1","2","5","5","39.583533","3.685673"
"2306405","ITAPIPOCA","-39.583482","-3.499436","2306405 ITAPIPOCA","142","299","240","198","148","124","125","133","114","143","152","83","39.583482","3.499436"
"2306504","ITAPIÚNA","-38.920674","-4.55474","2306504 ITAPIÚNA","1","1","1","1","1","1","1","1","1","1","1","1","38.920674","4.55474"
"2306553","ITAREMA","-39.915678","-2.923348","2306553 ITAREMA","1","1","1","1","1","1","1","1","1","2","5","1","39.915678","2.923348"
"2306603","ITATIRA","-39.617904","-4.528923","2306603 ITATIRA","1","1","1","1","1","1","1","6","8","12","5","2","39.617904","4.528923"
"2306702","JAGUARETAMA","-38.762526","-5.61089","2306702 JAGUARETAMA","1","10","5","1","3","9","6","7","39","22","18","6","38.762526","5.61089"
"2306801","JAGUARIBARA","-38.463097","-5.457502","2306801 JAGUARIBARA","1","1","1","1","1","1","1","1","1","2","1","1","38.463097","5.457502"
"2306900","JAGUARIBE","-38.623005","-5.886459","2306900 JAGUARIBE","1","1","1","1","2","3","1","4","21","22","11","6","38.623005","5.886459"
"2307007","JAGUARUANA","-37.782391","-4.839555","2307007 JAGUARUANA","1","1","1","1","1","2","1","4","3","10","4","4","37.782391","4.839555"
"2307106","JARDIM","-39.284164","-7.585536","2307106 JARDIM","1","1","1","1","1","1","1","1","1","3","1","3","39.284164","7.585536"
"2307205","JATI","-39.005139","-7.692742","2307205 JATI","1","1","1","1","1","2","1","8","10","6","4","10","39.005139","7.692742"
"2307254","JIJOCA DE JERICOACOARA","-40.438735","-2.899683","2307254 JIJOCA DE JERICOACOARA","1","1","1","1","1","1","1","2","1","4","3","1","40.438735","2.899683"
"2307304","JUAZEIRO DO NORTE","-39.316993","-7.210766","2307304 JUAZEIRO DO NORTE","1","1","1","1","1","1","1","1","5","7","4","2","39.316993","7.210766"
"2307403","JUCÁS","-39.526776","-6.522549","2307403 JUCÁS","1","1","2","2","1","3","2","1","7","2","2","3","39.526776","6.522549"
"2307502","LAVRAS DA MANGABEIRA","-38.967275","-6.754748","2307502 LAVRAS DA MANGABEIRA","1","1","1","1","3","1","2","11","16","4","1","4","38.967275","6.754748"
"2307601","LIMOEIRO DO NORTE","-38.099095","-5.150239","2307601 LIMOEIRO DO NORTE","1","1","1","1","1","1","1","1","6","1","3","1","38.099095","5.150239"
"2307635","MADALENA","-39.575789","-4.852434","2307635 MADALENA","1","1","1","1","2","2","1","4","7","9","15","4","39.575789","4.852434"
"2307650","MARACANAÚ","-38.624419","-3.876964","2307650 MARACANAÚ","1","1","1","2","1","1","2","3","1","3","2","1","38.624419","3.876964"
"2307700","MARANGUAPE","-38.685851","-3.891869","2307700 MARANGUAPE","1","2","2","7","9","7","20","24","24","14","3","2","38.685851","3.891869"
"2307809","MARCO","-40.151644","-3.120707","2307809 MARCO","1","1","1","1","1","2","1","2","4","3","2","1","40.151644","3.120707"
"2307908","MARTINÓPOLE","-40.699355","-3.225012","2307908 MARTINÓPOLE","1","1","1","1","1","1","1","1","1","6","1","1","40.699355","3.225012"
"2308005","MASSAPÊ","-40.342135","-3.523871","2308005 MASSAPÊ","1","1","1","1","1","1","1","1","1","1","1","1","40.342135","3.523871"
"2308104","MAURITI","-38.772795","-7.387398","2308104 MAURITI","1","1","1","1","1","1","1","1","1","1","1","1","38.772795","7.387398"
"2308203","MERUOCA","-40.450881","-3.539007","2308203 MERUOCA","1","1","4","1","1","1","1","5","16","3","6","1","40.450881","3.539007"
"2308302","MILAGRES","-38.943157","-7.310428","2308302 MILAGRES","1","1","1","1","1","5","2","3","2","7","1","1","38.943157","7.310428"
"2308351","MILHÃ","-39.203574","-5.679564","2308351 MILHÃ","1","1","1","3","2","6","5","4","3","1","1","3","39.203574","5.679564"
"2308377","MIRAÍMA","-39.970065","-3.5686","2308377 MIRAÍMA","1","1","1","1","5","6","5","2","19","8","3","4","39.970065","3.5686"
"2308401","MISSÃO VELHA","-39.145198","-7.243232","2308401 MISSÃO VELHA","1","1","1","1","1","1","1","4","1","7","2","1","39.145198","7.243232"
"2308500","MOMBAÇA","-39.624405","-5.747005","2308500 MOMBAÇA","1","1","1","1","1","1","1","1","1","1","1","1","39.624405","5.747005"
"2308609","MONSENHOR TABOSA","-40.070067","-4.783091","2308609 MONSENHOR TABOSA","1","1","1","1","1","1","1","2","1","2","2","1","40.070067","4.783091"
"2308708","MORADA NOVA","-38.364907","-5.096952","2308708 MORADA NOVA","1","3","2","5","1","5","4","4","6","8","4","1","38.364907","5.096952"
"2308807","MORAÚJO","-40.683599","-3.466363","2308807 MORAÚJO","1","1","1","1","1","1","1","3","2","1","1","1","40.683599","3.466363"
"2308906","MORRINHOS","-40.124179","-3.228831","2308906 MORRINHOS","1","1","1","1","1","1","1","1","1","1","2","2","40.124179","3.228831"
"2309003","MUCAMBO","-40.74528","-3.90603","2309003 MUCAMBO","1","1","1","1","1","1","1","1","1","1","1","1","40.74528","3.90603"
"2309102","MULUNGU","-38.993066","-4.299528","2309102 MULUNGU","1","1","1","1","1","3","1","5","4","2","3","1","38.993066","4.299528"
"2309201","NOVA OLINDA","-39.679485","-7.084103","2309201 NOVA OLINDA","1","1","1","1","1","5","1","2","5","4","1","2","39.679485","7.084103"
"2309300","NOVA RUSSAS","-40.565303","-4.706808","2309300 NOVA RUSSAS","1","1","1","1","1","1","1","1","1","3","1","2","40.565303","4.706808"
"2309409","NOVO ORIENTE","-40.774767","-5.533865","2309409 NOVO ORIENTE","1","1","1","1","1","1","1","1","1","1","1","1","40.774767","5.533865"
"2309458","OCARA","-38.598538","-4.485067","2309458 OCARA","3","1","1","1","2","1","14","17","47","36","21","16","38.598538","4.485067"
"2309508","ORÓS","-38.913596","-6.242799","2309508 ORÓS","1","1","2","1","1","1","1","1","1","2","1","1","38.913596","6.242799"
"2309607","PACAJUS","-38.467022","-4.170541","2309607 PACAJUS","1","1","3","3","11","22","18","23","30","14","7","6","38.467022","4.170541"
"2309706","PACATUBA","-38.618299","-3.98612","2309706 PACATUBA","1","1","1","1","1","1","1","8","25","3","5","4","38.618299","3.98612"
"2309805","PACOTI","-38.925889","-4.224765","2309805 PACOTI","1","1","3","1","1","1","1","1","4","4","1","2","38.925889","4.224765"
